First Payment Date,Maturity Date,Loan Amount,Zip,Property Value,Year Built,Net Operating Income,Effective Gross Income,Total Operating Expenses,Maintenance Expense,Parking Expense,Taxes Expense,Insurance Expense,Utilities Expense,Payroll Expense
2017-04-01,2024-03-01,0.0,77080,24414594.18,1968,1991244.58,3292831.28,1224849.1,111112.87,84977.14,249475.01,100200.52,318689.19,260211.55
2017-04-01,2024-03-01,4940257.49,35020,7886092.47,1974,474217.86,1311946.32,855040.94,236196.1,0.0,80758.07,61935.81,168280.98,203333.19
2017-04-01,2037-03-01,2278731.47,75252,3161326.29,1985,222429.21,420337.7,213573.93,23532.68,0.0,48343.08,13417.09,7693.08,53020.12
2017-07-01,2037-06-01,1479766.63,11237,2200609.41,1931,111093.63,144278.89,31905.03,4236.38,0.0,5141.81,3728.7,5317.93,2855.83
2017-08-01,2029-07-01,0.0,21216,1957923.93,1930,131062.74,230987.86,99177.86,36834.2,0.0,8017.99,5031.67,7440.39,0.0
2016-08-01,2026-07-01,31177339.45,75067,41283751.74,1983,2669205.32,4786239.68,2250710.01,231020.64,0.0,756080.58,128575.64,61588.4,538905.09
2017-07-01,2027-06-01,2122273.26,21201,2737411.12,1900,158160.62,251200.26,84331.07,30299.92,0.0,22760.8,6102.34,2851.12,7201.14
2017-05-01,2027-04-01,6127530.93,76040,11049386.08,1971,811109.48,1617085.43,854899.83,112512.19,0.0,139936.63,24265.24,173202.7,154733.57
2017-06-01,2027-05-01,4018228.87,14304,5182080.85,1980,443688.79,712076.84,279002.95,55356.09,0.0,160797.64,19316.53,0.0,18404.29
2016-10-01,2023-09-01,62117001.33,30062,78885035.73,1984,4595128.44,7179235.35,2590354.38,576513.98,0.0,451941.01,88993.08,103203.98,661434.36
2017-02-01,2027-01-01,12044729.44,27409,16655513.7,1986,1051714.61,1997519.82,1005421.68,190582.88,0.0,172943.3,38273.46,174881.81,268382.11
2017-08-07,2037-07-07,0.0,11215,2138471.36,1931,100160.69,132957.42,33912.64,3053.44,0.0,7542.15,4947.36,5247.58,3020.42
2017-07-01,2037-06-01,0.0,08031,5416323.06,1968,521527.75,552698.84,21849.42,0.0,0.0,0.0,0.0,0.0,0.0
